"","doi","relationType","relatedIdentifier","relatedIdentifierType"
"162","10.3886/e231424v1","IsSupplementTo","10.1257/aer.96.4.1043","DOI"
"163","10.3886/e231421v1","IsSupplementTo","10.1257/aer.20181480","DOI"
"164","10.3886/e231423v1","IsSupplementTo","10.1257/aer.20190789","DOI"
"165","10.3886/e231422v1","IsSupplementTo","10.1257/aer.20181714","DOI"
"166","10.3886/e231420v1","IsSupplementTo","10.1257/aer.20181446","DOI"
"167","10.3886/e231419v1","IsSupplementTo","10.1257/aer.20181164","DOI"
"168","10.3886/e231418v1","IsSupplementTo","10.1257/aer.20180976","DOI"
"169","10.3886/e231417v1","IsSupplementTo","10.1257/aer.20180946","DOI"
"170","10.3886/e231416v1","IsSupplementTo","10.1257/aer.20180888","DOI"
"171","10.3886/e231415v1","IsSupplementTo","10.1257/aer.20180771","DOI"
"172","10.3886/e231414v1","IsSupplementTo","10.1257/aer.20180728","DOI"
"173","10.3886/e231413v1","IsSupplementTo","10.1257/aer.20180654","DOI"
"174","10.3886/e231412v1","IsSupplementTo","10.1257/aer.20180608","DOI"
"175","10.3886/e231411v1","IsSupplementTo","10.1257/aer.20180279","DOI"
"176","10.3886/e231410v1","IsSupplementTo","10.1257/aer.20180277","DOI"
"177","10.3886/e231409v1","IsSupplementTo","10.1257/aer.20180174","DOI"
"178","10.3886/e231408v1","IsSupplementTo","10.1257/aer.20180098","DOI"
"179","10.3886/e231407v1","IsSupplementTo","10.1257/aer.20172015","DOI"
"180","10.3886/e231406v1","IsSupplementTo","10.1257/aer.20171400","DOI"
"181","10.3886/e231405v1","IsSupplementTo","10.1257/aer.20170866","DOI"
"182","10.3886/e231404v1","IsSupplementTo","10.1257/aer.20170581","DOI"
"183","10.3886/e231403v1","IsSupplementTo","10.1257/aer.20170263","DOI"
"184","10.3886/e231402v1","IsSupplementTo","10.1257/aer.20170156","DOI"
"185","10.3886/e231388v1","IsSupplementTo","10.1257/aer.20170045","DOI"
"186","10.3886/e231387v1","IsSupplementTo","10.1257/aer.20161925","DOI"
"187","10.3886/e231386v1","IsSupplementTo","10.1257/aer.20161720","DOI"
"188","10.3886/e231385v1","IsSupplementTo","10.1257/aer.20161471","DOI"
"189","10.3886/e231384v1","IsSupplementTo","10.1257/aer.20161457","DOI"
"190","10.3886/e231383v1","IsSupplementTo","10.1257/aer.20161218","DOI"
"191","10.3886/e231381v1","IsSupplementTo","10.1257/aer.20161214","DOI"
"192","10.3886/e231376v1","IsSupplementTo","10.1257/aer.20160042","DOI"
"193","10.3886/e231375v1","IsSupplementTo","10.1257/aer.20151655","DOI"
"194","10.3886/e231374v1","IsSupplementTo","10.1257/aer.20151507","DOI"
"195","10.3886/e231373v1","IsSupplementTo","10.1257/aer.20150796","DOI"
"196","10.3886/e231372v1","IsSupplementTo","10.1257/aer.20150443","DOI"
"197","10.3886/e231371v1","IsSupplementTo","10.1257/aer.20150342","DOI"
"198","10.3886/e231370v1","IsSupplementTo","10.1257/aer.20150237","DOI"
"199","10.3886/e231369v1","IsSupplementTo","10.1257/aer.20150210","DOI"
"200","10.3886/e231368v1","IsSupplementTo","10.1257/aer.20150183","DOI"
"201","10.3886/e231367v1","IsSupplementTo","10.1257/aer.20141772","DOI"
"202","10.3886/e231366v1","IsSupplementTo","10.1257/aer.20141529","DOI"
"203","10.3886/e231365v1","IsSupplementTo","10.1257/aer.20130957","DOI"
"204","10.3886/e231364v1","IsSupplementTo","10.1257/aer.20130470","DOI"
"205","10.3886/e231363v1","IsSupplementTo","10.1257/aer.20121186","DOI"
"206","10.3886/e231362v1","IsSupplementTo","10.1257/aer.20120549","DOI"
"207","10.3886/e231361v1","IsSupplementTo","10.1257/aer.20110683","DOI"
"208","10.3886/e231356v1","IsSupplementTo","10.1257/aer.20110035","DOI"
"209","10.3886/e231355v1","IsSupplementTo","10.1257/aer.20101199","DOI"
"210","10.3886/e231354v1","IsSupplementTo","10.1257/aer.104.7.2075","DOI"
"211","10.3886/e231353v1","IsSupplementTo","10.1257/aer.104.5.230","DOI"
"212","10.3886/e231352v1","IsSupplementTo","10.1257/aer.104.5.107","DOI"
"213","10.3886/e231351v1","IsSupplementTo","10.1257/aer.104.12.3885","DOI"
"214","10.3886/e231350v1","IsSupplementTo","10.1257/aer.104.10.3073","DOI"
"215","10.3886/e231349v1","IsSupplementTo","10.1257/aer.103.3.178","DOI"
"216","10.3886/e231348v1","IsSupplementTo","10.1257/aer.102.5.2147","DOI"
"217","10.3886/e231347v1","IsSupplementTo","10.1257/aer.102.5.1857","DOI"
"218","10.3886/e231346v1","IsSupplementTo","10.1257/aer.101.7.3308","DOI"
"219","10.3886/e231345v1","IsSupplementTo","10.1257/aer.101.5.2108","DOI"
"220","10.3886/e231344v1","IsSupplementTo","10.1257/aer.101.2.664","DOI"
"221","10.3886/e231343v1","IsSupplementTo","10.1257/aer.101.1.158","DOI"
"222","10.3886/e231342v1","IsSupplementTo","10.1257/aer.100.5.2031","DOI"
"223","10.3886/e231341v1","IsSupplementTo","10.1257/aer.100.4.1493","DOI"
"224","10.3886/e231304v1","IsSupplementTo","10.1257/0002828054201251","DOI"
"225","10.3886/e229601v2","IsSupplementTo","10.1257/0002828043052295","DOI"
"226","10.3886/e229581v2","IsSupplementTo","10.1257/0002828042002741","DOI"
